word,degree,strength,eigenvector,bridging,pc1,pc2,pc3
u2-pa-ti-pi,4,0.6,0.001809,4.0,-0.0076,0.0933,0.0172
u2-ri-[pu]-up,2,0.3,1.4e-05,2.0,0.0053,-0.0104,-0.006
u2-ri-pu-be,2,0.3,0.000194,2.0,-0.0032,0.0049,-0.0068
u2-ri-pu-pi,11,4.928,0.031101,8.2,-0.0054,0.0473,-0.0511
u3,1,1.5,0.014113,0,-0.0056,-0.0176,-0.0063
uk-ku-ma,2,0.3,0.0,2.0,-0.0071,0.097,-0.113
uk-ku-pi,2,0.3,0.0,2.0,-0.0044,0.0586,0.1392
uk-ku-ri,4,1.5,0.002223,4.0,-0.0079,0.0765,0.0846
ul-hi,4,1.2,0.002499,4.0,-0.006,0.0434,0.0525
ul-li-na,13,5.1151,0.018024,11.1667,-0.0072,-0.0211,0.0016
ul-li-na6,2,0.3,0.000101,2.0,-0.0016,-0.0075,0.0002
ul-lu-ru-uk,1,0.3,0.000488,0,-0.002,-0.0037,-0.0024
um-me,5,0.9,0.000315,5.0,0.1108,-0.0033,-0.0074
un,16,5.103,0.02003,14.4,-0.0072,-0.0147,-0.0041
un-taš-dingir-gal,4,0.9,0.006054,3.3333,-0.0082,0.0891,-0.0635
up-ku-mi-[ia],2,0.3,0.000853,0.0,-0.0008,-0.0043,-0.0014
up-kum-mi-ia,2,0.3,0.002428,0.0,-0.0017,-0.006,-0.002
up-qu-mi-ma,2,0.3,0.002471,2.0,-0.0022,-0.0049,-0.0013
ur,2,1.2,0.000258,2.0,-0.005,-0.0091,-0.0003
uš-ta-na,2,0.3,0.001501,2.0,-0.0032,0.0049,-0.0068
x-pa-lu,2,0.3,0.000853,0.0,0.0003,-0.0043,-0.0017
x-x,2,0.3,2.1e-05,2.0,-0.0016,0.0001,-0.007
za-ah-ri,3,0.6,0.003472,3.0,-0.0026,-0.0139,-0.0011
zi-it-im-ma,2,0.3,0.001821,2.0,-0.0021,-0.0061,0.0001
zi-it-me,4,2.1,0.00907,4.0,-0.0063,-0.0106,-0.0022
zig-ra-tu4,2,0.3,0.001494,2.0,0.0006,-0.0056,-0.0034
zig-ra-tu4-me,3,0.6,0.003013,3.0,-0.0023,-0.0006,-0.0132
zu-[un-ki-me,2,0.3,0.001811,2.0,-0.0025,-0.0044,-0.0
zu-lu-ka-ak,2,0.3,2e-06,2.0,-0.0071,0.097,-0.113
zu-u[n-ki-ip],2,0.3,0.0,2.0,0.162,0.0115,0.0003
zu-uk-ka-an,2,0.3,0.000322,0.0,-0.0023,-0.004,-0.0006
zu-uk-ka-an-ka,2,0.3,2.6e-05,2.0,-0.0016,-0.0037,-0.0018
zu-uk-ma,2,0.3,0.000427,2.0,-0.0071,0.097,-0.113
zu-un-ki-ik,12,7.5181,0.047452,11.8182,-0.0094,-0.0117,-0.0196
zu-un-ki-ip,3,0.6,0.002825,2.0,-0.0043,0.0383,-0.051
zu-un-ki-me,6,3.0023,0.026235,3.6,-0.0056,-0.0134,-0.0015
zu-uz-ka-tah,2,0.3,0.001501,2.0,0.0053,-0.0104,-0.006
{ku-ši-ih},2,0.3,3e-05,2.0,-0.0016,-0.0056,-0.0025
{ku}?-nu-um,2,0.3,3.1e-05,2.0,-0.0016,-0.0037,-0.0018
{li}-na,2,0.3,5e-06,2.0,-0.0021,-0.0056,-0.0003
{te-la}-ak-ni,1,0.15,0.0,0,-0.0021,-0.0056,-0.0003
{uk-ku}-me,2,0.3,0.001803,2.0,-0.0016,-0.0037,-0.0018
š[u-šu-un-ka,2,0.3,0.002895,0.0,-0.0018,-0.0049,0.0005
ša,2,0.3,0.000845,2.0,0.0003,-0.0043,-0.0017
ša-[ak,2,0.3,0.001422,2.0,-0.0021,-0.0035,0.0017
ša-ak,30,21.6,0.112451,30.0,-0.0266,-0.0457,-0.0229
ša-am?-me-eh-ši,2,0.3,0.001803,2.0,-0.0016,-0.0037,-0.0018
ša-ar-ra-na,2,0.3,0.000325,2.0,-0.0023,-0.004,-0.0006
ša-at-ki-me,4,0.6,0.001943,3.3333,-0.0021,-0.0078,0.0019
ša-at-me,2,0.3,0.0,2.0,-0.0032,0.0049,-0.0068
ša-qu-tu4,2,0.3,0.0,2.0,-0.0071,0.097,-0.113
ša-ra-ra,4,1.2,5.8e-05,4.0,-0.01,0.1202,0.1353
ša-ri-ih,3,2.7508,0.010788,3.0,-0.0057,-0.0098,-0.002
ša-ri-ik,2,0.3,0.001815,2.0,-0.0027,0.0036,-0.0117
ša-tu4-uh-ni,1,0.15,1.8e-05,0,-0.0021,-0.0067,0.0021
ši-in-ni,2,0.3,3.3e-05,2.0,-0.0082,0.1217,-0.0215
šu-<ut>-ki-me,2,0.3,1.7e-05,2.0,-0.0014,-0.0058,0.002
šu-[šu-un-ka,2,0.3,0.00205,2.0,-0.0021,-0.0035,0.0017
šu-du-ur,2,0.3,4.9e-05,2.0,-0.0071,0.097,-0.113
šu-lu-me-en-[ka],2,0.3,0.003567,0.0,0.0039,-0.0093,-0.0079
šu-lu-me-ka,2,0.3,0.003567,0.0,-0.0016,-0.0064,0.0015
šu-tu4-ur,2,0.3,0.002029,2.0,-0.0082,0.1217,-0.0215
šu-uh-tir,2,0.3,0.000162,2.0,-0.0017,-0.0073,-0.0004
šu-ul-lu-me-en-ga,2,1.8,0.021403,0.0,-0.003,-0.0178,-0.0003
šu-ul-lu-me-en-ka,2,0.3,0.003567,0.0,-0.0021,-0.0145,-0.0003
šu-ul-lu-me-ga,3,1.8,0.020995,2.0,-0.0042,-0.0188,-0.0015
šu-ul-lu-me-ka,2,0.3,0.003567,0.0,-0.0017,-0.0073,-0.0004
šu-un-šu-ir-pi,2,0.3,0.003771,0.0,-0.0025,0.0007,-0.0045
šu-up,2,0.3,0.002375,2.0,-0.0018,-0.0059,0.0001
šu-ut-ku-me,2,0.3,1.6e-05,2.0,-0.0018,-0.0059,0.0001
šu-ut-me,2,0.3,1e-06,2.0,-0.0032,0.0049,-0.0068
šu-šu-[un-ka],2,0.3,0.003502,2.0,-0.0016,-0.0056,-0.0025
šu-šu-un,4,0.6,0.002516,3.3333,-0.0051,0.0381,-0.0515
šu-šu-un-[ka]-[…],2,0.3,1.5e-05,2.0,-0.0008,-0.0043,-0.0014
šu-šu-un-ka,45,28.979,0.263003,41.5,-0.0252,-0.0481,-0.0153
