source,target,bigram_weight,similarity_weight,total_weight,edge_type
hi-en-ga,u2-me,0,0.7214,0.7214,similarity
a-gi,in,0,0.7208,0.7208,similarity
u2-me,šu-šu-un-ka,0,0.7189,0.7189,similarity
a-gi,u2-pa-at,0,0.7153,0.7153,similarity
a-ak,u2-pa-at,0,0.7145,0.7145,similarity
(d)in-šu-uš-na-ak,tu4-ur,0,0.7096,0.7096,similarity
si-it-me,u2-pa-at,0,0.7075,0.7075,similarity
hi-ih,ku-ši-ih,0,0.7026,0.7026,similarity
su-un-ki-ik,u2-pa-at,0,0.7003,0.7003,similarity
ak-ka,tu4-ur,0,0.6945,0.6945,similarity
(d)in-šu-uš-na-ak,du-ni-ih,0,0.6917,0.6917,similarity
[…],in,0,0.689,0.689,similarity
a-gi,hu-ut-tak-ha-li-ik,0,0.6887,0.6887,similarity
in,sah-ri,0,0.6886,0.6886,similarity
hu-us-si-ip-me,šu-šu-un-ka,0,0.6884,0.6884,similarity
a-ha-ar,u2-me,0,0.6879,0.6879,similarity
(d)in-šu-uš-na-ak,u2-pa-at,0,0.6878,0.6878,similarity
in,šu-šu-un-ka,0,0.6867,0.6867,similarity
hi-en-ka,u2-pa-at,0,0.6845,0.6845,similarity
si-it-me,šu-šu-un-ka,0,0.6844,0.6844,similarity
(d)ki-ri-ri-ša,hu-us-si-ip-me,0,0.6844,0.6844,similarity
az-ki-it,u2-pa-at,0,0.6824,0.6824,similarity
dingir-gal,si-ia-an-ku-uk-pa,0,0.6768,0.6768,similarity
(d)in-šu-uš-na-ak,in-gi,0,0.6765,0.6765,similarity
si-ia-an-ku-uk,u2-me,0,0.6763,0.6763,similarity
[…],a-ak,0,0.6747,0.6747,similarity
ku-ši-ih,su-un-ki-ik,0,0.6737,0.6737,similarity
hi-en-ga,hu-ut-tak-ha-li-ik,0,0.673,0.673,similarity
si-ia-an-i-me,šu-šu-un-ka,0,0.6728,0.6728,similarity
[…],tu4-ur,0,0.672,0.672,similarity
a-ak,u2-ri-pu-pi,0,0.6717,0.6717,similarity
ak-ka,in,0,0.6657,0.6657,similarity
hi-en-ga,hi-en-ka,0,0.6653,0.6653,similarity
a-pu-un,dingir-gal,0,0.6637,0.6637,similarity
a-ak,si-it-me,0,0.6628,0.6628,similarity
ta-ak-me,tu4-ur,0,0.6627,0.6627,similarity
a-ha-ar,hu-us-si-ip-me,0,0.6624,0.6624,similarity
du-ni-ih,ku-ši-ih,0,0.6623,0.6623,similarity
si-ia-an-ku-uk-ra,tu4-ur,0,0.6622,0.6622,similarity
a-gi,hi-ih,0,0.6613,0.6613,similarity
hu-ut-tak-ha-li-ik,in,0,0.6593,0.6593,similarity
ak-ka,su-un-ki-me,0,0.6579,0.6579,similarity
(d)ši-mut,si-ia-an-ku-uk-ra,0,0.6574,0.6574,similarity
a-pu-un,hu-us-si-ip-me,0,0.6574,0.6574,similarity
si-ia-an-ku-uk-ra,u2-pa-at,0,0.656,0.656,similarity
hi-en-ga,šu-šu-un-ka,0,0.6557,0.6557,similarity
hi-ih,tu4-ni-ih,0,0.6551,0.6551,similarity
a-ak,u2,0,0.6542,0.6542,similarity
gi-ri-na,šu-šu-un-ka,0,0.6535,0.6535,similarity
ir-mu,lu-bu-ru-uh,0,0.6519,0.6519,similarity
a-ak,ša-ri-ih,0,0.6508,0.6508,similarity
sah-ri,u2-me,0,0.6493,0.6493,similarity
hi-en-ga,u2-pa-at,0,0.6484,0.6484,similarity
hi-en-ka,hu-us-si-ip-me,0,0.6473,0.6473,similarity
a-pu-un,si-it-me,0,0.6472,0.6472,similarity
si-ia-an-ku-uk-ra,si-it-me,0,0.6463,0.6463,similarity
a-pu-un,u2-pa-at,0,0.6457,0.6457,similarity
az-ki-it,in,0,0.6454,0.6454,similarity
a-gi,in-gi,0,0.6454,0.6454,similarity
a-gi,a-pu-un,0,0.6436,0.6436,similarity
(d)in-šu-uš-na-ak,ta-ak-me,0,0.6429,0.6429,similarity
az-ki-it,sah-ri,0,0.6422,0.6422,similarity
ku-ši-ih,si-it-me,0,0.6417,0.6417,similarity
a-ak,hi-en-ka,0,0.6414,0.6414,similarity
hi-en-ga,u2,0,0.641,0.641,similarity
hu-us-si-ip-me,ta-ak-me,0,0.6405,0.6405,similarity
in,mu-ur-tah,0,0.6404,0.6404,similarity
(d)in-šu-uš-na-ak,la-ha-ak-ir-ra,0,0.6398,0.6398,similarity
a-ak,du-ni-ih,0,0.6394,0.6394,similarity
si-a-an-ku-uk-ra,si-it-me,0,0.639,0.639,similarity
a-gi,hi-en-ga,0,0.6386,0.6386,similarity
mu-ur-tah,si-ia-an,0,0.6377,0.6377,similarity
hi-ih,u2-me,0,0.6374,0.6374,similarity
in-gi,u2-pa-at,0,0.6373,0.6373,similarity
hi-en-ga,hu-us-si-ip-me,0,0.6369,0.6369,similarity
mu-ur-tah,u2,0,0.6365,0.6365,similarity
du-ni-ih,u2-pa-at,0,0.6362,0.6362,similarity
[…],in-gi,0,0.6361,0.6361,similarity
hu-šu-ia,ku-ši-ih,0,0.6355,0.6355,similarity
(d)na-ah-hu-un-te,[…],0,0.6354,0.6354,similarity
(d)iš-ni-ka-ra-ab2,],0,0.6349,0.6349,similarity
a-ak,ta-ak-me,0,0.634,0.634,similarity
(d)ki-ri-ri-ša,in,0,0.6334,0.6334,similarity
mu-ur-tah,u2-pa-at,0,0.6331,0.6331,similarity
(d)in-šu-uš-na-ak,az-ki-it,0,0.632,0.632,similarity
ir,u2-me,0,0.6299,0.6299,similarity
e,si-a-an-ku-uk-ra,0,0.6294,0.6294,similarity
az-ki-it,si-ia-an-ku-uk,0,0.6293,0.6293,similarity
an-za-an,u2-me,0,0.6275,0.6275,similarity
(d)in-šu-ši-na-ak,u2-me,0,0.6273,0.6273,similarity
hi-en-ka,šu-šu-un-ka,0,0.6271,0.6271,similarity
(d)in-šu-ši-na-ak,hi-en-ka,0,0.6268,0.6268,similarity
in-gi,si-ia-an-ku-uk-ra,0,0.6268,0.6268,similarity
hi-en-ga,ku-ši-ih,0,0.6265,0.6265,similarity
si-ia-an-ku-uk-ra,u2-ri-pu-pi,0,0.6258,0.6258,similarity
(d)zu-un-ki-ir-ri-ša-ar-ra,tu4-up-pi-me,0,0.624,0.624,similarity
a-pu-un,in,0,0.6229,0.6229,similarity
im-me,ku-ši-ih,0,0.6198,0.6198,similarity
su-un-ki-ik,tu4-ur,0,0.6182,0.6182,similarity
